Partido,Fecha_Hora_COT,Score_Final,Diferencia_Cuota_Promedio,Mercado,Cuota,Casa_Apuestas,Margen_Casa_Pct,Margen_Mercado_Promedio_Pct,Ventaja_Margen_Pct,Cuota_Promedio_Mercado,Bwin_Cuota_1,Bwin_Cuota_X,Bwin_Cuota_2,Bwin_Margen_Pct
"Torino vs Como","2025-11-24 12:30",0.4519,0.0197,"X2",1.33,"marathonbet",3.85,5.59,1.74,1.3103,3.3,3.25,2.2,6.53
"Porto vs Nice","2025-11-27 12:45",0.4453,0.1948,"X2",3.08,"betsson",3.93,5.68,1.75,2.8852,1.42,4.6,7.5,5.49
"Bologna vs Salzburg","2025-11-27 15:00",0.4426,0.118,"X2",3.21,"betsson",3.57,5.15,1.58,3.092,,,,
"Liverpool vs PSV Eindhoven","2025-11-26 15:00",0.4392,0.145,"X2",3.69,"betsson",4.03,5.8,1.77,3.545,,,,
"Espanyol vs Sevilla","2025-11-24 15:00",0.4388,0.0512,"X2",1.84,"codere_it",3.92,5.64,1.72,1.7888,2.0,3.4,3.7,6.44
"Borussia Dortmund vs Villarreal","2025-11-25 15:00",0.4354,0.0317,"1X",1.25,"betsson",3.79,5.44,1.65,1.2183,,,,
"Genoa vs Hellas Verona","2025-11-29 09:00",0.4253,0.026,"1X",1.26,"betsson",4.75,6.77,2.02,1.234,,,,
"Lazio vs Lecce","2025-11-23 12:00",0.4205,0.02,"1X",1.16,"marathonbet",3.9,5.54,1.64,1.14,,,,
"Lazio vs Lecce","2025-11-23 12:00",0.4205,0.0483,"X2",2.24,"marathonbet",3.9,5.54,1.64,2.1917,,,,
"Bayer Leverkusen vs Borussia Dortmund","2025-11-29 12:30",0.4099,0.0355,"X2",1.55,"betsson",4.66,6.57,1.91,1.5145,2.5,3.7,2.6,5.49
"Monterrey vs América","2025-11-26 16:00",0.4082,0.0233,"1X",1.48,"pinnacle",4.85,6.83,1.98,1.4567,,,,
"Monterrey vs América","2025-11-26 16:00",0.4082,0.0333,"X2",1.51,"pinnacle",4.85,6.83,1.98,1.4767,,,,
"NEC Nijmegen vs Sparta Rotterdam","2025-11-29 15:00",0.4041,0.12,"X2",2.1,"marathonbet",7.25,10.18,2.93,1.98,1.75,4.1,4.1,5.92
"Vitória SC vs AVS Futebol SAD","2025-11-28 15:15",0.3989,0.024,"1X",1.16,"pinnacle",5.34,7.47,2.13,1.136,,,,
"Paris Saint Germain vs Tottenham Hotspur","2025-11-26 15:00",0.3985,0.0767,"X2",2.9,"betsson",3.94,5.51,1.57,2.8233,,,,
"Red Star Belgrade vs FCSB","2025-11-27 15:00",0.3939,0.01,"1X",1.12,"betsson",3.63,5.06,1.43,1.11,,,,
