Mercado,N,Rend_Total,ROI,Variable,r,p
Under 2.5,1725,11.84000000000001,0.6863768115942035,BDI_std_p,-0.013522725745766002,0.574620632124926
Under 2.5,1725,11.84000000000001,0.6863768115942035,BDI_mad_p,-0.01226564676768471,0.610695838775023
Under 2.5,1725,11.84000000000001,0.6863768115942035,Num_Casas,0.015133063206470622,0.5299360220268949
Under 2.5,1725,11.84000000000001,0.6863768115942035,Diferencia_Cuota_Promedio,0.014045356682001074,0.5599246902438524
Under 2.5,1725,11.84000000000001,0.6863768115942035,Volatilidad_Pct,-0.0018255920203115296,0.9396039678850792
Under 2.5,1725,11.84000000000001,0.6863768115942035,Margen_Casa_Pct,-0.036386158781178464,0.13088136087807006
Under 2.75,345,-7.540000000000009,-2.1855072463768144,Mejor_Cuota,0.08389083316008634,0.11987685634595764
Under 2.75,345,-7.540000000000009,-2.1855072463768144,Cuota_Promedio_Mercado,0.07835014438681863,0.14643460032518182
Under 2.75,345,-7.540000000000009,-2.1855072463768144,BDI_jsd_fair,0.00707938310225183,0.8957609700038506
Under 2.75,345,-7.540000000000009,-2.1855072463768144,BDI_n_bookmakers_fair,0.008137248050205532,0.8802939166939875
Under 2.75,345,-7.540000000000009,-2.1855072463768144,BDI_std_p_fair,-0.006618187921383662,0.9025168312294732
Under 2.75,345,-7.540000000000009,-2.1855072463768144,BDI_mad_p_fair,0.0029807796855220413,0.9560072411623574
Under 2.75,345,-7.540000000000009,-2.1855072463768144,BDI_jsd,0.024295172321574306,0.6529329445023722
Under 2.75,345,-7.540000000000009,-2.1855072463768144,BDI_n_bookmakers,0.008137248050205532,0.8802939166939875
Under 2.75,345,-7.540000000000009,-2.1855072463768144,BDI_std_p,0.03060400806330737,0.5710444759889901
Under 2.75,345,-7.540000000000009,-2.1855072463768144,BDI_mad_p,0.03644814077985308,0.4998273481785958
Under 2.75,345,-7.540000000000009,-2.1855072463768144,Num_Casas,0.008137248050205532,0.8802939166939875
Under 2.75,345,-7.540000000000009,-2.1855072463768144,Diferencia_Cuota_Promedio,0.04933205996442656,0.3609621831199863
Under 2.75,345,-7.540000000000009,-2.1855072463768144,Volatilidad_Pct,0.03219634871323969,0.5511720124034557
Under 2.75,345,-7.540000000000009,-2.1855072463768144,Margen_Casa_Pct,-0.05691009326853091,0.29184801596441196
Under 3.0,205,-53.879999999999995,-26.282926829268288,Mejor_Cuota,-0.06716902334568589,0.33861035801003353
Under 3.0,205,-53.879999999999995,-26.282926829268288,Cuota_Promedio_Mercado,-0.04051306089553959,0.564109223124871
Under 3.0,205,-53.879999999999995,-26.282926829268288,BDI_jsd_fair,-0.07027375910648587,0.3167044659063718
Under 3.0,205,-53.879999999999995,-26.282926829268288,BDI_n_bookmakers_fair,0.05206224076655304,0.45847351203605696
Under 3.0,205,-53.879999999999995,-26.282926829268288,BDI_std_p_fair,-0.06576172765806143,0.34885025011258847
Under 3.0,205,-53.879999999999995,-26.282926829268288,BDI_mad_p_fair,-0.06308476803207334,0.3688610649139734
Under 3.0,205,-53.879999999999995,-26.282926829268288,BDI_jsd,-0.08635410373997626,0.21826922136747484
Under 3.0,205,-53.879999999999995,-26.282926829268288,BDI_n_bookmakers,0.05206224076655304,0.45847351203605696
Under 3.0,205,-53.879999999999995,-26.282926829268288,BDI_std_p,-0.08841644029469624,0.20743123784124068
Under 3.0,205,-53.879999999999995,-26.282926829268288,BDI_mad_p,-0.08729065591668167,0.21329841325010473
Under 3.0,205,-53.879999999999995,-26.282926829268288,Num_Casas,0.05206224076655304,0.45847351203605696
Under 3.0,205,-53.879999999999995,-26.282926829268288,Diferencia_Cuota_Promedio,-0.11450627356087313,0.10208321344712451
Under 3.0,205,-53.879999999999995,-26.282926829268288,Volatilidad_Pct,-0.09060662643989768,0.19635158460414656
Under 3.0,205,-53.879999999999995,-26.282926829268288,Margen_Casa_Pct,-0.010132349878104926,0.8853506041399303
Under 3.25,60,1.6599999999999993,2.7666666666666657,Mejor_Cuota,0.11445413666732294,0.3838771726481117
Under 3.25,60,1.6599999999999993,2.7666666666666657,Cuota_Promedio_Mercado,0.136332359421438,0.2989579547617971
Under 3.25,60,1.6599999999999993,2.7666666666666657,BDI_jsd_fair,0.19739331958187994,0.13059599886528805
Under 3.25,60,1.6599999999999993,2.7666666666666657,BDI_n_bookmakers_fair,-0.01651030861778218,0.9003600512375823
Under 3.25,60,1.6599999999999993,2.7666666666666657,BDI_std_p_fair,0.18854985875756344,0.14908970395074997
Under 3.25,60,1.6599999999999993,2.7666666666666657,BDI_mad_p_fair,0.19012878588911306,0.14565251260751022
Under 3.25,60,1.6599999999999993,2.7666666666666657,BDI_jsd,0.16761496268006457,0.2005077151831151
Under 3.25,60,1.6599999999999993,2.7666666666666657,BDI_n_bookmakers,-0.01651030861778218,0.9003600512375823
Under 3.25,60,1.6599999999999993,2.7666666666666657,BDI_std_p,0.11977156129254224,0.36202276115315973
Under 3.25,60,1.6599999999999993,2.7666666666666657,BDI_mad_p,0.13109035625026275,0.3180962078099834
Under 3.25,60,1.6599999999999993,2.7666666666666657,Num_Casas,-0.01651030861778218,0.9003600512375823
Under 3.25,60,1.6599999999999993,2.7666666666666657,Diferencia_Cuota_Promedio,-0.003312565261363051,0.9799597950681649
Under 3.25,60,1.6599999999999993,2.7666666666666657,Volatilidad_Pct,0.13145182194290622,0.3167519695876623
Under 3.25,60,1.6599999999999993,2.7666666666666657,Margen_Casa_Pct,0.05734486126264463,0.6634130473427376
Under 3.5,187,3.8199999999999994,2.0427807486631013,Mejor_Cuota,0.17929696721090224,0.01407515613188943
Under 3.5,187,3.8199999999999994,2.0427807486631013,Cuota_Promedio_Mercado,0.17486044511485316,0.016683089971072703
Under 3.5,187,3.8199999999999994,2.0427807486631013,BDI_jsd_fair,-0.03195599389180738,0.6641632022783328
Under 3.5,187,3.8199999999999994,2.0427807486631013,BDI_n_bookmakers_fair,0.20190673352665617,0.0055864144926874556
Under 3.5,187,3.8199999999999994,2.0427807486631013,BDI_std_p_fair,-0.03199964747196491,0.663732375343228
Under 3.5,187,3.8199999999999994,2.0427807486631013,BDI_mad_p_fair,-0.04807436005764341,0.5135133241650562
Under 3.5,187,3.8199999999999994,2.0427807486631013,BDI_jsd,-0.026223241307532057,0.7216501575632859
Under 3.5,187,3.8199999999999994,2.0427807486631013,BDI_n_bookmakers,0.20190673352665617,0.0055864144926874556
Under 3.5,187,3.8199999999999994,2.0427807486631013,BDI_std_p,-0.02569840226803005,0.7269979358134768
Under 3.5,187,3.8199999999999994,2.0427807486631013,BDI_mad_p,-0.05850384878267818,0.4264126527254128
Under 3.5,187,3.8199999999999994,2.0427807486631013,Num_Casas,0.20190673352665617,0.0055864144926874556
Under 3.5,187,3.8199999999999994,2.0427807486631013,Diferencia_Cuota_Promedio,0.12318024862624971,0.0930405272925844
