rank_desc,bets,hits,hit_rate,profit_total,roi,avg_odds,avg_bdi,avg_margin,misses
78,10,5,0.5,1.08,0.10800000000000001,2.189,1.9723262786206956e-05,5.795,5
79,10,7,0.7,5.97,0.597,2.239,1.9303908441825174e-05,6.3950000000000005,3
80,10,4,0.4,-1.4,-0.13999999999999999,2.1550000000000002,1.8990598375599944e-05,6.053,6
81,10,6,0.6,2.3,0.22999999999999998,2.127,1.8635196432382723e-05,5.682,4
82,10,6,0.6,3.12,0.312,2.21,1.8269914062663502e-05,6.24,4
83,10,3,0.3,-3.6799999999999997,-0.368,2.167,1.7992795007397784e-05,6.239,7
84,10,3,0.3,-3.44,-0.344,2.18,1.782792699122228e-05,5.726,7
85,10,5,0.5,1.5,0.15,2.359,1.7366726820098318e-05,6.122999999999999,5
86,10,3,0.3,-3.73,-0.373,2.158,1.699341723132618e-05,6.244,7
87,10,3,0.3,-3.05,-0.305,2.213,1.6817264199172615e-05,5.464,7
88,10,3,0.3,-3.46,-0.346,2.142,1.6420949696490982e-05,6.425999999999999,7
89,10,5,0.5,1.29,0.129,2.244,1.598548809631056e-05,6.389,5
90,10,7,0.7,5.050000000000001,0.5050000000000001,2.133,1.5567259769277827e-05,5.743,3
91,10,5,0.5,1.2599999999999998,0.12599999999999997,2.197,1.5388360542021635e-05,6.194,5
92,10,4,0.4,-0.8600000000000003,-0.08600000000000003,2.255,1.4897949783207254e-05,6.275,6
93,10,7,0.7,4.92,0.492,2.189,1.4576473494189404e-05,5.992,3
94,10,4,0.4,-1.1999999999999997,-0.11999999999999997,2.152,1.4323215727342634e-05,6.244,6
95,10,3,0.3,-3.7500000000000004,-0.37500000000000006,2.207,1.3971858797362999e-05,7.272,7
96,10,5,0.5,0.7699999999999998,0.07699999999999999,2.2640000000000002,1.3481673752639365e-05,6.27,5
97,10,4,0.4,-0.4700000000000002,-0.04700000000000002,2.259,1.3126638133757993e-05,5.133,6
98,10,4,0.4,-1.38,-0.13799999999999998,2.184,1.247099457968044e-05,6.04,6
99,10,5,0.5,0.9899999999999998,0.09899999999999998,2.168,1.2283885736044458e-05,5.644,5
100,10,4,0.4,-1.02,-0.10200000000000001,2.215,1.199936429631506e-05,6.276,6
101,10,1,0.1,-7.82,-0.782,2.2199999999999998,1.1652157514528105e-05,6.056,9
102,10,3,0.3,-3.55,-0.355,2.0780000000000003,1.1346040911826684e-05,6.007,7
103,10,4,0.4,-1.4200000000000004,-0.14200000000000004,2.173,1.1194769280713382e-05,7.055,6
104,10,5,0.5,1.31,0.131,2.194,1.092415125753302e-05,6.476999999999999,5
105,10,4,0.4,-0.6100000000000003,-0.06100000000000003,2.261,1.0521348815765148e-05,5.004,6
106,10,5,0.5,0.49,0.049,2.107,1.0246165579544023e-05,6.534000000000001,5
107,10,6,0.6,3.67,0.367,2.241,1.0070411170858068e-05,6.272,4
108,10,3,0.3,-3.65,-0.365,2.2039999999999997,9.729096764048573e-06,6.004,7
109,10,5,0.5,0.8799999999999994,0.08799999999999994,2.191,9.48644856567142e-06,6.965000000000001,5
110,10,3,0.3,-2.97,-0.29700000000000004,2.315,9.052537480392632e-06,6.394,7
111,10,3,0.3,-3.24,-0.324,2.2350000000000003,8.507760535879432e-06,6.424000000000001,7
112,10,3,0.3,-3.5200000000000005,-0.35200000000000004,2.2640000000000002,8.202350166735452e-06,7.245,7
113,7,3,0.42857142857142855,-0.8700000000000001,-0.1242857142857143,2.0557142857142856,1.1155908566800556e-05,5.685714285714285,4
114,7,1,0.14285714285714285,-4.8,-0.6857142857142857,2.1228571428571428,1.0737249110236727e-05,6.775714285714286,6
115,7,5,0.7142857142857143,4.109999999999999,0.5871428571428571,2.1714285714285713,1.0521818554750513e-05,5.658571428571428,2
116,7,4,0.5714285714285714,2.08,0.29714285714285715,2.23,1.0086878496228502e-05,5.6499999999999995,3
117,7,2,0.2857142857142857,-2.99,-0.42714285714285716,2.2800000000000002,9.870821067791077e-06,6.335714285714286,5
118,7,3,0.42857142857142855,-0.7999999999999998,-0.11428571428571425,2.15,9.628237355491125e-06,6.3100000000000005,4
119,7,4,0.5714285714285714,1.4500000000000002,0.20714285714285716,2.1271428571428572,9.458384426859291e-06,7.154285714285714,3
120,7,2,0.2857142857142857,-2.5100000000000002,-0.3585714285714286,2.462857142857143,9.210131629148307e-06,6.994285714285715,5
121,7,3,0.42857142857142855,-0.56,-0.08,2.1871428571428573,8.880412112671083e-06,6.921428571428572,4
122,7,3,0.42857142857142855,-0.3100000000000005,-0.04428571428571436,2.124285714285714,8.615678030180317e-06,6.351428571428571,4
