strategy,bets,hits,misses,hit_rate,profit_total,roi,avg_odds,avg_bdi,over_share,top_n
top_152,1598,690,908,0.43178973717146435,-81.81,-0.05119524405506884,2.2195994993742176,6.642077938015039e-05,0.5569461827284106,152
top_153,1602,691,911,0.4313358302122347,-83.88,-0.05235955056179775,2.2199375780274657,6.626429962029963e-05,0.5580524344569289,153
top_154,1606,693,913,0.4315068493150685,-83.50999999999999,-0.05199875466998754,2.2199190535491904,6.61078891297201e-05,0.5579078455790785,154
top_155,1610,694,916,0.43105590062111804,-85.32,-0.05299378881987577,2.2198447204968943,6.59519212925116e-05,0.5583850931677019,155
top_156,1614,698,916,0.43246592317224286,-80.06,-0.04960346964064436,2.2200805452292443,6.579475238958202e-05,0.5576208178438662,156
top_157,1618,699,919,0.4320148331273177,-81.94,-0.05064276885043263,2.2198454882571075,6.56375104120028e-05,0.5580964153275649,157
top_158,1622,701,921,0.4321824907521578,-81.49,-0.05024044389642417,2.220166461159063,6.548012444355064e-05,0.5579531442663379,158
top_159,1625,703,922,0.4326153846153846,-80.41999999999999,-0.049489230769230765,2.219987692307692,6.536208449343542e-05,0.5575384615384615,159
top_160,1627,704,923,0.4326982175783651,-80.36999999999999,-0.04939766441303011,2.2201475107559925,6.528354987567118e-05,0.5574677320221266,160
top_161,1628,705,923,0.43304668304668303,-79.07,-0.048568796068796063,2.2201965601965603,6.524466209862263e-05,0.5571253071253072,161
top_162,1629,705,924,0.43278084714548803,-80.07,-0.04915285451197053,2.2203990178023325,6.520580522088447e-05,0.5573971761817066,162
top_163,1630,705,925,0.4325153374233129,-81.07,-0.0497361963190184,2.221693251533742,6.516669582118467e-05,0.5570552147239264,163
top_164,1631,705,926,0.4322501532801962,-82.07,-0.05031882280809319,2.2219374616799508,6.51273643707366e-05,0.5573267933782955,164
top_165,1632,705,927,0.4319852941176471,-83.07,-0.05090073529411764,2.2221997549019608,6.508754521040801e-05,0.5575980392156863,165
top_166,1633,706,927,0.43233312921004285,-81.52,-0.049920391916717696,2.222400489895897,6.504768755871762e-05,0.5578689528475199,166
